observation,internet_email,handheld,often_internet,social_media,internet_subscriber,type_internet,own_cell_phone,smartphone,connection_problems,twitter,instagram,facebook,snapchat,youtube,twitter_usage,instagram_usage,facebook_usage,snapchat_usage,youtube_usage,books,gender,household_people,age,employment_status,political_party
400,Yes,Yes,1 - Almost constantly,Yes,No,No internet subscription,Yes,Yes,4 - Never,No,Yes,No,No,Yes,Does not use,3 - About once a day,Does not use,Does not use,1 - Almost constantly,0.00,Woman,4.00,30.00,Full-time,Republican
401,Yes,Yes,2 - Several times a day,No,Yes,Higher-speed,Yes,Yes,4 - Never,No,No,No,No,Yes,Does not use,Does not use,Does not use,Does not use,2 - Several times a day,5.00,Man,2.00,73.00,Retired,Democrat
402,Yes,Yes,1 - Almost constantly,Yes,No,No internet subscription,Yes,Yes,4 - Never,Yes,Yes,Yes,Yes,Yes,1 - Almost constantly,1 - Almost constantly,3 - About once a day,1 - Almost constantly,1 - Almost constantly,10.00,Woman,5.00,18.00,Not employed,Democrat
403,Yes,Yes,2 - Several times a day,Yes,Yes,Higher-speed,Yes,Yes,4 - Never,Yes,Yes,No,No,Yes,2 - Several times a day,4 - Several times a week,Does not use,Does not use,4 - Several times a week,15.00,Man,4.00,45.00,Full-time,Democrat
404,Yes,Yes,1 - Almost constantly,Yes,Yes,Higher-speed,Yes,Yes,4 - Never,No,No,Yes,No,No,Does not use,Does not use,1 - Almost constantly,Does not use,Does not use,5.00,Man,2.00,60.00,Full-time,Republican
405,Yes,Yes,1 - Almost constantly,Yes,Yes,Higher-speed,Yes,Yes,3 - Rarely,No,No,Yes,No,Yes,Does not use,Does not use,1 - Almost constantly,Does not use,1 - Almost constantly,12.00,Man,1.00,53.00,Full-time,Independent
406,Yes,Yes,2 - Several times a day,Yes,Yes,Higher-speed,Yes,Yes,3 - Rarely,Yes,Yes,Yes,No,Yes,3 - About once a day,3 - About once a day,1 - Almost constantly,Does not use,1 - Almost constantly,0.00,Man,4.00,53.00,Full-time,Democrat
407,Yes,Yes,1 - Almost constantly,Yes,Yes,Higher-speed,Yes,Yes,3 - Rarely,Yes,No,No,No,Yes,2 - Several times a day,Does not use,Does not use,Does not use,1 - Almost constantly,4.00,Man,2.00,60.00,Full-time,Democrat
408,Yes,Yes,1 - Almost constantly,Yes,Yes,Higher-speed,Yes,Yes,2 - Sometimes,Yes,Yes,Yes,Yes,Yes,2 - Several times a day,1 - Almost constantly,2 - Several times a day,1 - Almost constantly,1 - Almost constantly,5.00,Man,2.00,26.00,Full-time,Democrat
409,Yes,Yes,2 - Several times a day,Yes,Yes,Higher-speed,Yes,Yes,2 - Sometimes,No,No,Yes,No,Yes,Does not use,Does not use,2 - Several times a day,Does not use,3 - About once a day,6.00,Man,2.00,61.00,Full-time,Independent
410,Yes,Yes,2 - Several times a day,Yes,Yes,Higher-speed,Yes,Yes,1 - Often,Yes,No,Yes,No,Yes,1 - Almost constantly,Does not use,3 - About once a day,Does not use,3 - About once a day,6.00,Man,2.00,73.00,Retired,Democrat
411,Yes,Yes,1 - Almost constantly,Yes,Yes,Higher-speed,Yes,Yes,2 - Sometimes,No,Yes,No,No,Yes,Does not use,1 - Almost constantly,Does not use,Does not use,4 - Several times a week,10.00,Woman,1.00,72.00,Part-time,Democrat
412,Yes,Yes,2 - Several times a day,Yes,Yes,Higher-speed,Yes,Yes,3 - Rarely,Yes,Yes,Yes,No,Yes,2 - Several times a day,2 - Several times a day,1 - Almost constantly,Does not use,1 - Almost constantly,15.00,Man,2.00,72.00,Retired,Republican
413,Yes,Yes,2 - Several times a day,No,Yes,Higher-speed,Yes,Yes,2 - Sometimes,No,No,No,Yes,Yes,Does not use,Does not use,Does not use,1 - Almost constantly,2 - Several times a day,35.00,Man,4.00,23.00,Full-time,Independent
414,Yes,Yes,2 - Several times a day,Yes,Yes,Higher-speed,Yes,Yes,3 - Rarely,No,No,No,No,Yes,Does not use,Does not use,Does not use,Does not use,1 - Almost constantly,50.00,Man,1.00,59.00,Full-time,Independent
415,Yes,Yes,1 - Almost constantly,Yes,Yes,Higher-speed,Yes,Yes,3 - Rarely,No,Yes,Yes,Yes,Yes,Does not use,3 - About once a day,1 - Almost constantly,3 - About once a day,1 - Almost constantly,1.00,Man,4.00,23.00,Part-time,Republican
416,Yes,Yes,2 - Several times a day,Yes,Yes,Higher-speed,Yes,Yes,2 - Sometimes,No,Yes,Yes,No,Yes,Does not use,1 - Almost constantly,1 - Almost constantly,Does not use,4 - Several times a week,35.00,Woman,2.00,72.00,Retired,Independent
417,No,No,No Internet,No,No,No internet subscription,Yes,No,No internet,No,No,No,No,No,Does not use,Does not use,Does not use,Does not use,Does not use,0.00,Man,1.00,78.00,Retired,Independent
418,Yes,Yes,2 - Several times a day,Yes,Yes,Higher-speed,Yes,Yes,2 - Sometimes,Yes,No,Yes,No,Yes,2 - Several times a day,Does not use,2 - Several times a day,Does not use,3 - About once a day,30.00,Woman,3.00,34.00,Full-time,Democrat
419,Yes,Yes,1 - Almost constantly,No,Yes,Higher-speed,Yes,Yes,2 - Sometimes,No,No,Yes,Yes,Yes,Does not use,Does not use,4 - Several times a week,1 - Almost constantly,2 - Several times a day,8.00,Man,3.00,21.00,Not employed,Independent
420,Yes,Yes,2 - Several times a day,Yes,Yes,Don't Know,Yes,Yes,3 - Rarely,No,No,Yes,No,Yes,Does not use,Does not use,3 - About once a day,Does not use,3 - About once a day,5.00,Woman,3.00,20.00,Part-time,Independent
421,Yes,Yes,2 - Several times a day,No,Yes,Higher-speed,Yes,Yes,2 - Sometimes,No,No,No,No,Yes,Does not use,Does not use,Does not use,Does not use,5 - Few times a month or less,20.00,Woman,4.00,46.00,Full-time,Democrat
422,Yes,Yes,2 - Several times a day,Yes,Yes,Higher-speed,Yes,Yes,2 - Sometimes,No,No,Yes,No,Yes,Does not use,Does not use,3 - About once a day,Does not use,3 - About once a day,40.00,Woman,7.00,40.00,Not employed,Republican
423,Yes,Yes,1 - Almost constantly,Yes,No,No internet subscription,Yes,Yes,1 - Often,Yes,Yes,Yes,Yes,Yes,3 - About once a day,1 - Almost constantly,1 - Almost constantly,1 - Almost constantly,5 - Few times a month or less,2.00,Woman,2.00,23.00,Full-time,Democrat
424,Yes,Yes,2 - Several times a day,Yes,Yes,Higher-speed,Yes,Yes,2 - Sometimes,No,No,Yes,No,Yes,Does not use,Does not use,3 - About once a day,Does not use,5 - Few times a month or less,2.00,Man,2.00,73.00,Not employed,Independent
425,Yes,Yes,3 - About once a day,Yes,Yes,Higher-speed,Yes,No,3 - Rarely,No,No,Yes,No,Yes,Does not use,Does not use,1 - Almost constantly,Does not use,2 - Several times a day,96.00,Woman,1.00,79.00,Part-time,Independent
426,Yes,No,5 - Few times a month or less,No,Don't Know,No internet subscription,Yes,No,4 - Never,No,No,No,No,Yes,Does not use,Does not use,Does not use,Does not use,5 - Few times a month or less,40.00,Man,8+,18.00,Not employed,Other party
427,Yes,Yes,2 - Several times a day,No,No,No internet subscription,Yes,No,4 - Never,No,No,No,No,Yes,Does not use,Does not use,Does not use,Does not use,2 - Several times a day,10.00,Man,1.00,59.00,Full-time,Republican
428,Yes,Yes,4 - Several times a week,No,No,No internet subscription,Yes,Yes,4 - Never,No,No,Yes,No,Yes,Does not use,Does not use,1 - Almost constantly,Does not use,4 - Several times a week,1.00,Man,1.00,55.00,Full-time,Democrat
429,Yes,No,2 - Several times a day,No,Yes,Higher-speed,Yes,Yes,3 - Rarely,No,No,No,No,Yes,Does not use,Does not use,Does not use,Does not use,3 - About once a day,20.00,Man,2.00,77.00,Retired,Republican
430,Yes,Yes,1 - Almost constantly,Yes,Yes,Dial-up,Yes,Yes,2 - Sometimes,No,No,Yes,Yes,Yes,Does not use,Does not use,1 - Almost constantly,1 - Almost constantly,1 - Almost constantly,0.00,Man,3.00,25.00,Not employed,Democrat
431,Yes,Yes,3 - About once a day,Yes,Yes,Higher-speed,Yes,Yes,4 - Never,No,Yes,Yes,No,Yes,Does not use,5 - Few times a month or less,1 - Almost constantly,Does not use,4 - Several times a week,3.00,Man,4.00,31.00,Full-time,Independent
432,Yes,Yes,2 - Several times a day,Yes,Yes,Higher-speed,Yes,Yes,2 - Sometimes,No,Yes,Yes,No,Yes,Does not use,2 - Several times a day,1 - Almost constantly,Does not use,3 - About once a day,4.00,Man,5.00,29.00,Not employed,Independent
433,No,No,No Internet,No,Yes,Higher-speed,Yes,No,No internet,No,No,No,No,Yes,Does not use,Does not use,Does not use,Does not use,2 - Several times a day,14.00,Man,2.00,73.00,Retired,Republican
434,Yes,Yes,2 - Several times a day,Yes,Yes,Higher-speed,Yes,Yes,1 - Often,No,No,Yes,No,Yes,Does not use,Does not use,1 - Almost constantly,Does not use,3 - About once a day,Don't Know,Man,2.00,73.00,Retired,Democrat
435,Yes,Yes,1 - Almost constantly,Yes,Yes,Higher-speed,Yes,Yes,3 - Rarely,No,Yes,No,Yes,Yes,Does not use,1 - Almost constantly,Does not use,3 - About once a day,3 - About once a day,15.00,Woman,1.00,28.00,Full-time,Independent
436,Yes,Yes,1 - Almost constantly,Yes,Yes,Higher-speed,Yes,Yes,3 - Rarely,No,No,Yes,No,Yes,Does not use,Does not use,1 - Almost constantly,Does not use,3 - About once a day,20.00,Man,2.00,58.00,Full-time,Independent
437,Yes,Yes,2 - Several times a day,Yes,Yes,Higher-speed,Yes,Yes,4 - Never,No,No,Yes,Yes,Yes,Does not use,Does not use,2 - Several times a day,1 - Almost constantly,1 - Almost constantly,2.00,Man,1.00,21.00,Full-time,Republican
438,Yes,Yes,2 - Several times a day,Yes,Yes,Higher-speed,Yes,Yes,2 - Sometimes,No,No,Yes,No,Yes,Does not use,Does not use,3 - About once a day,Does not use,4 - Several times a week,3.00,Man,2.00,68.00,Retired,Republican
439,Yes,Yes,2 - Several times a day,Yes,Yes,Higher-speed,Yes,Yes,3 - Rarely,No,Yes,No,No,Yes,Does not use,5 - Few times a month or less,Does not use,Does not use,3 - About once a day,15.00,Man,4.00,35.00,Full-time,Independent
440,Yes,Yes,2 - Several times a day,Yes,Yes,Higher-speed,Yes,Yes,3 - Rarely,No,Yes,Yes,No,Yes,Does not use,4 - Several times a week,3 - About once a day,Does not use,4 - Several times a week,2.00,Man,2.00,75.00,Retired,Independent
441,Yes,Yes,2 - Several times a day,No,Yes,Higher-speed,Yes,Yes,2 - Sometimes,No,No,No,No,Yes,Does not use,Does not use,Does not use,Does not use,2 - Several times a day,10.00,Woman,4.00,45.00,Not employed,Democrat
442,Yes,Yes,1 - Almost constantly,Yes,Yes,Higher-speed,Yes,Yes,1 - Often,No,Yes,Yes,Yes,Yes,Does not use,1 - Almost constantly,1 - Almost constantly,2 - Several times a day,1 - Almost constantly,2.00,Woman,4.00,40.00,Full-time,Democrat
443,Yes,Yes,2 - Several times a day,Yes,Yes,Higher-speed,Yes,Yes,2 - Sometimes,No,Yes,Yes,Yes,Yes,Does not use,2 - Several times a day,2 - Several times a day,1 - Almost constantly,2 - Several times a day,96.00,Woman,5.00,47.00,Full-time,Democrat
444,Yes,Yes,5 - Few times a month or less,No,Yes,Higher-speed,Yes,Yes,3 - Rarely,No,Yes,No,No,Yes,Does not use,5 - Few times a month or less,Does not use,Does not use,5 - Few times a month or less,5.00,Woman,2.00,69.00,Retired,
445,Yes,No,1 - Almost constantly,Yes,Yes,Dial-up,Yes,No,2 - Sometimes,No,No,Yes,No,Yes,Does not use,Does not use,1 - Almost constantly,Does not use,3 - About once a day,2.00,Man,1.00,59.00,Not employed,Democrat
446,Yes,Yes,3 - About once a day,No,Yes,Higher-speed,Yes,Yes,3 - Rarely,No,No,No,No,Yes,Does not use,Does not use,Does not use,Does not use,1 - Almost constantly,2.00,Man,3.00,61.00,Full-time,Don't Know
447,Yes,Yes,2 - Several times a day,No,No,No internet subscription,Yes,Yes,3 - Rarely,No,No,No,No,Yes,Does not use,Does not use,Does not use,Does not use,1 - Almost constantly,4.00,Man,6.00,19.00,Part-time,Independent
448,Yes,Yes,2 - Several times a day,Yes,Yes,Higher-speed,Yes,Yes,2 - Sometimes,No,No,Yes,No,Yes,Does not use,Does not use,1 - Almost constantly,Does not use,4 - Several times a week,12.00,Man,2.00,60.00,Full-time,Republican
449,Yes,Yes,2 - Several times a day,Yes,Yes,Higher-speed,Yes,Yes,3 - Rarely,No,Yes,Yes,No,Yes,Does not use,3 - About once a day,1 - Almost constantly,Does not use,3 - About once a day,37.00,Woman,2.00,62.00,Full-time,Republican
450,Yes,Yes,2 - Several times a day,Yes,Yes,Higher-speed,Yes,Yes,3 - Rarely,Yes,Yes,No,No,Yes,3 - About once a day,2 - Several times a day,Does not use,Does not use,3 - About once a day,20.00,Woman,1.00,41.00,Full-time,Democrat
451,Yes,Yes,2 - Several times a day,Yes,Yes,Higher-speed,Yes,Yes,3 - Rarely,No,Yes,Yes,Yes,Yes,Does not use,3 - About once a day,1 - Almost constantly,1 - Almost constantly,1 - Almost constantly,14.00,Man,6.00,24.00,Not employed,Independent
452,Yes,Yes,2 - Several times a day,Yes,Yes,Higher-speed,Yes,Yes,3 - Rarely,No,No,Yes,No,Yes,Does not use,Does not use,1 - Almost constantly,Does not use,1 - Almost constantly,8.00,Woman,4.00,56.00,Full-time,Democrat
453,Yes,Yes,2 - Several times a day,No,Yes,Higher-speed,Yes,Yes,3 - Rarely,No,No,Yes,No,Yes,Does not use,Does not use,3 - About once a day,Does not use,3 - About once a day,2.00,Man,2.00,44.00,Full-time,Independent
454,Yes,Yes,3 - About once a day,No,No,No internet subscription,Yes,Yes,1 - Often,No,No,No,No,Yes,Does not use,Does not use,Does not use,Does not use,1 - Almost constantly,10.00,Man,1.00,45.00,Not employed,Independent
455,Yes,Yes,2 - Several times a day,Yes,Yes,Higher-speed,Yes,Yes,3 - Rarely,No,No,Yes,Yes,Yes,Does not use,Does not use,1 - Almost constantly,3 - About once a day,4 - Several times a week,50.00,Man,3.00,51.00,Full-time,Independent
456,Yes,Yes,1 - Almost constantly,Yes,Yes,Higher-speed,Yes,Yes,4 - Never,No,No,Yes,No,Yes,Does not use,Does not use,3 - About once a day,Does not use,3 - About once a day,12.00,Man,3.00,42.00,Full-time,Republican
457,Yes,Yes,1 - Almost constantly,Yes,Yes,Higher-speed,Yes,Yes,3 - Rarely,No,No,Yes,No,Yes,Does not use,Does not use,1 - Almost constantly,Does not use,3 - About once a day,10.00,Man,2.00,40.00,Full-time,Democrat
458,Yes,Yes,4 - Several times a week,No,Yes,Higher-speed,Yes,No,2 - Sometimes,No,No,No,No,Yes,Does not use,Does not use,Does not use,Does not use,3 - About once a day,3.00,Woman,1.00,64.00,Other,Democrat
459,Yes,Yes,2 - Several times a day,No,Yes,Higher-speed,Yes,Yes,4 - Never,No,No,No,No,No,Does not use,Does not use,Does not use,Does not use,Does not use,97+,Man,1.00,65.00,Retired,Democrat
460,Yes,Yes,1 - Almost constantly,Yes,Yes,Higher-speed,Yes,Yes,2 - Sometimes,Yes,Yes,No,Yes,Yes,3 - About once a day,2 - Several times a day,Does not use,1 - Almost constantly,1 - Almost constantly,25.00,Man,3.00,20.00,Part-time,Republican
461,Yes,Yes,1 - Almost constantly,Yes,Yes,Higher-speed,Yes,Yes,3 - Rarely,Yes,Yes,No,Yes,Yes,2 - Several times a day,1 - Almost constantly,Does not use,1 - Almost constantly,1 - Almost constantly,35.00,Man,2.00,24.00,Full-time,Independent
462,Yes,Yes,5 - Few times a month or less,No,Yes,Don't Know,Yes,No,4 - Never,No,No,No,No,No,Does not use,Does not use,Does not use,Does not use,Does not use,96.00,Woman,2.00,84.00,Not employed,Democrat
463,Yes,Yes,4 - Several times a week,No,Yes,Higher-speed,Yes,Yes,3 - Rarely,No,No,No,No,Yes,Does not use,Does not use,Does not use,Does not use,3 - About once a day,97+,Woman,1.00,80.00,Retired,Independent
464,Yes,Yes,1 - Almost constantly,Yes,Yes,Higher-speed,Yes,Yes,2 - Sometimes,Yes,Yes,Yes,No,Yes,5 - Few times a month or less,3 - About once a day,3 - About once a day,Does not use,3 - About once a day,97+,Woman,3.00,61.00,Full-time,Democrat
465,Yes,Yes,2 - Several times a day,Yes,Yes,Higher-speed,Yes,Yes,3 - Rarely,No,No,No,No,Yes,Does not use,Does not use,Does not use,Does not use,3 - About once a day,20.00,Woman,2.00,49.00,Full-time,Independent
466,Yes,Yes,3 - About once a day,No,Yes,Higher-speed,Yes,Yes,3 - Rarely,No,No,No,No,No,Does not use,Does not use,Does not use,Does not use,Does not use,8.00,Man,2.00,73.00,Retired,Republican
467,Yes,Yes,1 - Almost constantly,Yes,Yes,Higher-speed,Yes,Yes,1 - Often,Yes,Yes,Yes,Yes,Yes,1 - Almost constantly,1 - Almost constantly,1 - Almost constantly,5 - Few times a month or less,1 - Almost constantly,1.00,Man,,,,Independent
468,Yes,Yes,2 - Several times a day,Yes,Yes,Higher-speed,Yes,Yes,2 - Sometimes,Yes,No,Yes,No,Yes,4 - Several times a week,Does not use,1 - Almost constantly,Does not use,3 - About once a day,50.00,Man,2.00,71.00,Retired,Independent
469,Yes,Yes,2 - Several times a day,Yes,No,No internet subscription,Yes,Yes,4 - Never,No,Yes,Yes,No,Yes,Does not use,3 - About once a day,3 - About once a day,Does not use,1 - Almost constantly,3.00,Woman,1.00,20.00,Full-time,Independent
470,Yes,Yes,4 - Several times a week,No,No,No internet subscription,Yes,Yes,4 - Never,No,No,No,No,Yes,Does not use,Does not use,Does not use,Does not use,4 - Several times a week,1.00,Man,2.00,62.00,Part-time,Independent
471,Yes,Yes,1 - Almost constantly,Yes,Yes,Higher-speed,Yes,Yes,3 - Rarely,Yes,Yes,Yes,Yes,Yes,2 - Several times a day,3 - About once a day,1 - Almost constantly,5 - Few times a month or less,1 - Almost constantly,8.00,Man,2.00,53.00,Full-time,Independent
472,No,No,No Internet,No,No,No internet subscription,Yes,No,No internet,No,Don't Know,No,No,No,Does not use,Does not use,Does not use,Does not use,Does not use,1.00,Man,2.00,62.00,Retired,Republican
473,Yes,Yes,1 - Almost constantly,Yes,Yes,Higher-speed,Yes,Yes,2 - Sometimes,Yes,No,Yes,Yes,Yes,5 - Few times a month or less,Does not use,3 - About once a day,1 - Almost constantly,2 - Several times a day,4.00,Man,4.00,23.00,Full-time,Independent
474,Yes,Yes,5 - Few times a month or less,Yes,Yes,Higher-speed,Yes,Yes,4 - Never,No,No,No,No,No,Does not use,Does not use,Does not use,Does not use,Does not use,15.00,Woman,3.00,,Full-time,Independent
475,Yes,Yes,1 - Almost constantly,Yes,Yes,Higher-speed,Yes,Yes,4 - Never,Yes,No,Yes,No,Yes,3 - About once a day,Does not use,1 - Almost constantly,Does not use,1 - Almost constantly,2.00,Man,2.00,,Full-time,Independent
476,Yes,Yes,2 - Several times a day,Yes,Yes,Higher-speed,Yes,Yes,1 - Often,Yes,Yes,Yes,Yes,Yes,3 - About once a day,3 - About once a day,2 - Several times a day,5 - Few times a month or less,2 - Several times a day,12.00,Woman,3.00,46.00,Not employed,Independent
477,Yes,Yes,2 - Several times a day,Yes,Yes,Higher-speed,Yes,Yes,3 - Rarely,Yes,Yes,No,No,Yes,2 - Several times a day,4 - Several times a week,Does not use,Does not use,3 - About once a day,20.00,Man,3.00,57.00,Full-time,Democrat
478,Yes,No,2 - Several times a day,No,Yes,Dial-up,Yes,No,3 - Rarely,No,No,No,No,No,Does not use,Does not use,Does not use,Does not use,Does not use,0.00,Man,,,,
479,Yes,Yes,1 - Almost constantly,No,Yes,Higher-speed,Yes,Yes,4 - Never,No,No,No,No,Yes,Does not use,Does not use,Does not use,Does not use,2 - Several times a day,0.00,Man,2.00,48.00,Not employed,Don't Know
480,Yes,Yes,2 - Several times a day,No,Yes,Higher-speed,Yes,Yes,3 - Rarely,No,No,No,No,Yes,Does not use,Does not use,Does not use,Does not use,2 - Several times a day,10.00,Man,3.00,34.00,Full-time,Republican
481,Yes,Yes,3 - About once a day,Yes,Yes,Higher-speed,Yes,Yes,3 - Rarely,No,Yes,Yes,No,Yes,Does not use,4 - Several times a week,1 - Almost constantly,Does not use,1 - Almost constantly,5.00,Woman,3.00,58.00,Full-time,Democrat
482,Yes,Yes,4 - Several times a week,Yes,Yes,Higher-speed,Yes,Yes,2 - Sometimes,Yes,No,Yes,No,Yes,5 - Few times a month or less,Does not use,1 - Almost constantly,Does not use,3 - About once a day,Don't Know,Man,5.00,30.00,Not employed,Independent
483,Yes,Yes,1 - Almost constantly,Yes,Yes,Higher-speed,Yes,Yes,3 - Rarely,Yes,No,Yes,No,Yes,1 - Almost constantly,Does not use,2 - Several times a day,Does not use,1 - Almost constantly,10.00,Man,2.00,34.00,Part-time,Independent
484,Yes,Yes,2 - Several times a day,Yes,Yes,Higher-speed,Yes,Yes,2 - Sometimes,No,No,Yes,No,Yes,Does not use,Does not use,1 - Almost constantly,Does not use,1 - Almost constantly,2.00,Man,2.00,40.00,Full-time,Independent
485,Yes,Yes,2 - Several times a day,No,Yes,Higher-speed,Yes,Yes,3 - Rarely,No,No,No,Yes,Yes,Does not use,Does not use,Does not use,2 - Several times a day,2 - Several times a day,2.00,Man,2.00,36.00,Full-time,Independent
486,Yes,Yes,1 - Almost constantly,Yes,Yes,Higher-speed,Yes,Yes,3 - Rarely,Yes,Yes,Yes,No,Yes,5 - Few times a month or less,5 - Few times a month or less,1 - Almost constantly,Does not use,2 - Several times a day,5.00,Man,2.00,63.00,Full-time,Democrat
487,Yes,Yes,1 - Almost constantly,Yes,Yes,Higher-speed,Yes,Yes,1 - Often,No,No,Yes,No,Yes,Does not use,Does not use,1 - Almost constantly,Does not use,3 - About once a day,0.00,Man,4.00,42.00,Other,Republican
488,Yes,Yes,2 - Several times a day,No,Yes,Higher-speed,Yes,Yes,3 - Rarely,No,No,No,No,Yes,Does not use,Does not use,Does not use,Does not use,4 - Several times a week,10.00,Man,1.00,65.00,Full-time,
489,Yes,Yes,2 - Several times a day,Yes,Yes,Higher-speed,Yes,Yes,4 - Never,Yes,Yes,Yes,No,Yes,3 - About once a day,4 - Several times a week,1 - Almost constantly,Does not use,2 - Several times a day,4.00,Man,2.00,68.00,Retired,Independent
490,Yes,Yes,1 - Almost constantly,Yes,Yes,Higher-speed,Yes,Yes,2 - Sometimes,Yes,Yes,Yes,Yes,Yes,3 - About once a day,1 - Almost constantly,3 - About once a day,1 - Almost constantly,1 - Almost constantly,0.00,Man,3.00,18.00,Not employed,Independent
491,Yes,Yes,1 - Almost constantly,Yes,Yes,Higher-speed,Yes,Yes,3 - Rarely,No,Yes,Yes,No,Yes,Does not use,3 - About once a day,1 - Almost constantly,Does not use,3 - About once a day,7.00,Man,2.00,42.00,Full-time,Democrat
492,Yes,Yes,5 - Few times a month or less,No,No,No internet subscription,Yes,No,4 - Never,No,No,No,No,No,Does not use,Does not use,Does not use,Does not use,Does not use,0.00,Man,4.00,63.00,Full-time,Independent
493,Yes,Yes,4 - Several times a week,Yes,Yes,Don't Know,Yes,Yes,3 - Rarely,No,No,Yes,No,Yes,Does not use,Does not use,3 - About once a day,Does not use,3 - About once a day,0.00,Man,3.00,62.00,Part-time,Independent
494,Yes,Yes,1 - Almost constantly,Yes,Yes,Higher-speed,Yes,Yes,3 - Rarely,No,No,Yes,No,Yes,Does not use,Does not use,4 - Several times a week,Does not use,3 - About once a day,Don't Know,Woman,2.00,61.00,Retired,Republican
495,Yes,Yes,1 - Almost constantly,Yes,Yes,No home internet access,Yes,Yes,1 - Often,No,Yes,Yes,No,Yes,Does not use,5 - Few times a month or less,1 - Almost constantly,Does not use,1 - Almost constantly,20.00,Man,1.00,61.00,Not employed,Independent
496,Yes,Yes,1 - Almost constantly,Yes,Yes,Higher-speed,Yes,Yes,2 - Sometimes,No,Yes,Yes,No,Yes,Does not use,3 - About once a day,1 - Almost constantly,Does not use,3 - About once a day,3.00,Woman,3.00,59.00,Full-time,Democrat
497,No,No,No Internet,No,Yes,Higher-speed,Yes,No,No internet,No,No,Yes,No,Yes,Does not use,Does not use,1 - Almost constantly,Does not use,2 - Several times a day,97+,Woman,4.00,35.00,Not employed,Republican
498,No,No,No Internet,No,No,No internet subscription,Yes,No,No internet,No,No,No,No,No,Does not use,Does not use,Does not use,Does not use,Does not use,0.00,Woman,1.00,69.00,Retired,Independent
499,Yes,Yes,2 - Several times a day,Yes,Yes,Higher-speed,Yes,Yes,1 - Often,No,No,Yes,No,Yes,Does not use,Does not use,1 - Almost constantly,Does not use,3 - About once a day,1.00,Man,3.00,51.00,Full-time,Independent
500,Yes,Yes,2 - Several times a day,No,Yes,Higher-speed,Yes,Yes,3 - Rarely,No,No,No,No,Yes,Does not use,Does not use,Does not use,Does not use,2 - Several times a day,6.00,Man,6.00,46.00,Full-time,Independent
501,Yes,Yes,2 - Several times a day,No,Yes,Higher-speed,Yes,Yes,2 - Sometimes,No,No,Yes,No,Yes,Does not use,Does not use,3 - About once a day,Does not use,1 - Almost constantly,30.00,Man,3.00,51.00,Full-time,Independent
502,Yes,Yes,1 - Almost constantly,No,Yes,Higher-speed,Yes,Yes,4 - Never,No,No,No,No,Yes,Does not use,Does not use,Does not use,Does not use,1 - Almost constantly,24.00,Man,2.00,79.00,Retired,Independent
503,Yes,Yes,4 - Several times a week,No,No,No internet subscription,Yes,No,1 - Often,No,No,No,No,No,Does not use,Does not use,Does not use,Does not use,Does not use,0.00,Woman,5.00,64.00,Full-time,Republican
504,Yes,Yes,2 - Several times a day,Yes,Yes,Both low and high speed,Yes,Yes,2 - Sometimes,No,No,Yes,No,Yes,Does not use,Does not use,2 - Several times a day,Does not use,2 - Several times a day,Don't Know,Man,2.00,55.00,Retired,Other party
505,Yes,Yes,4 - Several times a week,Yes,No,No internet subscription,Yes,Yes,3 - Rarely,No,No,Yes,No,Yes,Does not use,Does not use,1 - Almost constantly,Does not use,4 - Several times a week,1.00,Man,1.00,73.00,Retired,Democrat
506,Yes,Yes,2 - Several times a day,Yes,Yes,Higher-speed,Yes,Yes,3 - Rarely,Yes,Yes,Yes,No,Yes,1 - Almost constantly,3 - About once a day,2 - Several times a day,Does not use,2 - Several times a day,30.00,Woman,2.00,50.00,Full-time,Republican
507,No,No,No Internet,No,No,No internet subscription,Yes,Yes,No internet,No,No,No,No,No,Does not use,Does not use,Does not use,Does not use,Does not use,2.00,Man,1.00,82.00,Retired,Republican
508,Yes,Yes,3 - About once a day,No,Yes,Higher-speed,Yes,Yes,3 - Rarely,No,No,Yes,No,No,Does not use,Does not use,3 - About once a day,Does not use,Does not use,5.00,Woman,2.00,45.00,Full-time,Democrat
509,Yes,Yes,2 - Several times a day,Yes,Yes,Higher-speed,Yes,Yes,2 - Sometimes,No,Yes,Yes,No,Yes,Does not use,3 - About once a day,1 - Almost constantly,Does not use,1 - Almost constantly,0.00,Woman,2.00,61.00,Not employed,Independent
510,Yes,Yes,2 - Several times a day,Yes,Yes,Higher-speed,Yes,Yes,2 - Sometimes,Yes,Yes,Yes,Yes,Yes,1 - Almost constantly,1 - Almost constantly,3 - About once a day,1 - Almost constantly,3 - About once a day,13.00,Woman,5.00,22.00,Full-time,Independent
511,Yes,Yes,2 - Several times a day,Yes,Yes,Higher-speed,Yes,Yes,1 - Often,No,Yes,Yes,No,Yes,Does not use,2 - Several times a day,2 - Several times a day,Does not use,3 - About once a day,0.00,Woman,4.00,40.00,Part-time,Independent
512,Yes,No,4 - Several times a week,No,Yes,Higher-speed,Yes,Yes,2 - Sometimes,No,No,No,No,No,Does not use,Does not use,Does not use,Does not use,Does not use,96.00,Man,3.00,75.00,Retired,Independent
513,No,No,No Internet,No,No,No internet subscription,Yes,No,No internet,No,No,No,No,No,Does not use,Does not use,Does not use,Does not use,Does not use,0.00,Man,1.00,70.00,Retired,Independent
