observation,internet_email,handheld,often_internet,social_media,internet_subscriber,type_internet,own_cell_phone,smartphone,connection_problems,twitter,instagram,facebook,snapchat,youtube,twitter_usage,instagram_usage,facebook_usage,snapchat_usage,youtube_usage,books,gender,household_people,age,employment_status,political_party
1303,Yes,Yes,2 - Several times a day,No,Yes,Higher-speed,Yes,Yes,3 - Rarely,No,No,No,No,Yes,Does not use,Does not use,Does not use,Does not use,3 - About once a day,1.00,Woman,2.00,76.00,Retired,Republican
1304,Yes,Yes,2 - Several times a day,Yes,Yes,No home internet access,Yes,Yes,3 - Rarely,Yes,Yes,Yes,Yes,Yes,5 - Few times a month or less,5 - Few times a month or less,2 - Several times a day,2 - Several times a day,2 - Several times a day,5.00,Woman,4.00,27.00,Not employed,Independent
1305,Yes,Yes,1 - Almost constantly,Yes,Yes,Higher-speed,Yes,Yes,2 - Sometimes,Yes,Yes,No,Yes,Yes,1 - Almost constantly,2 - Several times a day,Does not use,1 - Almost constantly,1 - Almost constantly,0.00,Man,3.00,18.00,Other,Democrat
1306,Yes,Yes,2 - Several times a day,Yes,Yes,Higher-speed,Yes,Yes,3 - Rarely,Yes,Yes,No,No,Yes,1 - Almost constantly,3 - About once a day,Does not use,Does not use,1 - Almost constantly,40.00,Other,2.00,53.00,Not employed,Democrat
1307,Yes,Yes,2 - Several times a day,Yes,Yes,Higher-speed,Yes,Yes,3 - Rarely,No,No,Yes,No,Yes,Does not use,Does not use,1 - Almost constantly,Does not use,2 - Several times a day,3.00,Man,3.00,42.00,Full-time,Republican
1308,Yes,Yes,2 - Several times a day,Yes,Yes,Higher-speed,Yes,No,3 - Rarely,No,No,Yes,No,No,Does not use,Does not use,2 - Several times a day,Does not use,Does not use,30.00,Woman,,65.00,Retired,
1309,Yes,Yes,2 - Several times a day,Yes,Yes,Higher-speed,Yes,Yes,3 - Rarely,Yes,Yes,Yes,Yes,Yes,5 - Few times a month or less,4 - Several times a week,1 - Almost constantly,5 - Few times a month or less,1 - Almost constantly,5.00,Woman,1.00,61.00,Other,Democrat
1310,Yes,Yes,2 - Several times a day,Yes,Yes,Higher-speed,Yes,Yes,2 - Sometimes,No,No,Yes,No,Yes,Does not use,Does not use,2 - Several times a day,Does not use,3 - About once a day,2.00,Woman,1.00,65.00,Retired,Democrat
1311,Yes,Yes,1 - Almost constantly,No,Yes,Higher-speed,Yes,Yes,3 - Rarely,No,No,No,No,Yes,Does not use,Does not use,Does not use,Does not use,3 - About once a day,0.00,,2.00,28.00,Other,
1312,Yes,Yes,1 - Almost constantly,Yes,Yes,Higher-speed,Yes,Yes,2 - Sometimes,No,No,Yes,No,Yes,Does not use,Does not use,1 - Almost constantly,Does not use,3 - About once a day,25.00,Woman,3.00,44.00,Full-time,Independent
1313,Yes,Yes,1 - Almost constantly,Yes,Yes,Higher-speed,Yes,Yes,4 - Never,Yes,Yes,Yes,No,Yes,3 - About once a day,1 - Almost constantly,3 - About once a day,Does not use,1 - Almost constantly,6.00,Man,1.00,35.00,Full-time,
1314,Yes,Yes,5 - Few times a month or less,No,No,No internet subscription,Yes,Yes,4 - Never,No,No,No,No,No,Does not use,Does not use,Does not use,Does not use,Does not use,3.00,Woman,1.00,93.00,Retired,Republican
1315,Yes,Yes,4 - Several times a week,No,Yes,Higher-speed,Yes,No,4 - Never,No,No,No,No,No,Does not use,Does not use,Does not use,Does not use,Does not use,0.00,Man,2.00,92.00,Part-time,Republican
1316,Yes,Yes,1 - Almost constantly,Yes,Yes,Higher-speed,Yes,Yes,3 - Rarely,No,Yes,Yes,Yes,Yes,Does not use,4 - Several times a week,1 - Almost constantly,3 - About once a day,5 - Few times a month or less,97+,Woman,2.00,45.00,Not employed,Republican
1317,Yes,Yes,1 - Almost constantly,Yes,Yes,Higher-speed,Yes,Yes,4 - Never,No,Yes,Yes,Yes,Yes,Does not use,3 - About once a day,1 - Almost constantly,2 - Several times a day,3 - About once a day,10.00,Woman,1.00,31.00,Full-time,Democrat
1318,Yes,Yes,1 - Almost constantly,Yes,Yes,Higher-speed,Yes,Yes,2 - Sometimes,No,Yes,Yes,No,Yes,Does not use,2 - Several times a day,1 - Almost constantly,Does not use,2 - Several times a day,2.00,Man,1.00,36.00,Full-time,Independent
